Distância,Wifi,Bluetooth
0.2,-21,0
0.2,-23,-51
0.2,-23,-51
0.2,-22,-58
0.2,-21,-51
0.2,-22,-59
0.2,-22,-53
0.2,-24,-52
0.2,-23,-53
0.2,-21,-53
0.2,-22,-52
0.2,-20,-52
0.2,-23,0
0.2,-21,-52
0.2,-20,-52
0.2,-25,-54
0.2,-24,-54
0.2,-22,-52
0.5,-24,-68
0.5,-24,-64
0.5,-24,-59
0.5,-26,-65
0.5,-22,-63
0.5,-22,-60
0.5,-22,-63
0.5,-22,-59
0.5,-22,-68
0.5,-22,-65
0.5,-22,-64
0.5,-22,-64
0.5,-22,-65
0.5,-22,-66
0.5,-22,0
0.5,-22,-73
0.5,-22,-70
0.5,-30,-64
0.5,-24,-60
0.5,-22,-60
0.5,-22,-63
0.5,-24,-60
0.5,-26,-62
0.5,-24,-59
0.5,-26,-60
0.5,-22,-60
0.5,-27,-69
0.5,-24,-64
0.5,-24,-60
0.5,-24,-70
1,-32,-65
1,-33,-62
1,-35,-65
1,-34,-73
1,-32,0
1,-36,-64
1,-33,0
1,-35,-70
1,-34,-70
1,-35,-70
1,-32,-70
1,-33,-64
1,-35,-70
1,-32,-65
1,-33,-64
1,-34,-64
1,-32,-70
1,-35,-65
1,-34,-65
1,-32,-65
1,-33,-65
1,-35,-64
1,-34,-64
1,-33,-64
1,-34,-65
1,-34,-70
1,-34,-65
1,-36,-65
1,-33,-70
1,-35,-64
1.5,-42,-64
1.5,-41,-75
1.5,-40,0
1.5,-41,-64
1.5,-41,-64
1.5,-40,-64
1.5,-41,-66
1.5,-39,-70
1.5,-38,-74
1.5,-39,-68
1.5,-39,-64
1.5,-43,-68
1.5,-41,-66
1.5,-41,-68
1.5,-39,0
1.5,-43,-63
1.5,-39,-66
1.5,-39,-63
1.5,-39,-77
1.5,-43,-75
1.5,-38,-68
1.5,-38,-74
1.5,-41,-68
1.5,-39,-73
1.5,-41,-64
1.5,-42,0
1.5,-43,-77
1.5,-43,-66
1.5,-42,-68
1.5,-46,-67
2.2,-51,-77
2.2,-50,-77
2.2,-45,-77
2.2,-46,-84
2.2,-46,-78
2.2,-48,-80
2.2,-45,-81
2.2,-47,-82
2.2,-48,-83
2.2,-48,-80
2.2,-49,-76
2.2,-48,-75
2.2,-48,-84
2.2,-50,-85
2.2,-49,-82
2.2,-47,-78
2.2,-48,-78
2.2,-50,0
2.2,-48,-75
2.2,-51,-78
2.2,-50,-77
2.2,-50,-80
2.2,-48,-78
2.2,-48,-82
2.2,-52,-80
2.2,-54,-77
2.2,-44,-76
2.2,-41,-83
2.2,-40,-79
2.2,-43,-82
2,-51,-77
2,-49,-77
2,-43,-71
2,-45,0
2,-44,-74
2,-45,-74
2,-44,-71
2,-45,-78
2,-46,-74
2,-45,0
2,-45,-79
2,-45,-74
2,-45,-78
2,-44,-74
2,-44,-74
2,-45,-78
2,-46,-74
2,-45,-74
2,-45,-78
2,-46,-71
2,-45,-74
2,-44,0
2,-46,-71
2,-45,-71
2,-44,-74
2,-45,-72
2,-45,-78
2,-47,0
2,-46,-78
2,-45,-71
2.5,-49,-72
2.5,-49,-75
2.5,-47,-74
2.5,-49,-75
2.5,-48,-79
2.5,-47,-75
2.5,-48,-79
2.5,-47,-77
2.5,-47,-79
2.5,-46,-74
2.5,-47,0
2.5,-50,-73
2.5,-50,-76
2.5,-48,-75
2.5,-46,-76
2.5,-50,-74
2.5,-49,-79
2.5,-50,-78
2.5,-49,-74
2.5,-49,-75
2.5,-49,-80
2.5,-48,-74
2.5,-49,-76
2.5,-48,-79
2.5,-51,-79
2.5,-49,-76
2.5,-52,-77
2.5,-51,-79
2.5,-49,-76
2.5,-52,-77
3,-50,-80
3,-50,-77
3,-49,-77
3,-51,-79
3,-48,-77
3,-48,-73
3,-48,-72
3,-49,-79
3,-48,-71
3,-48,-74
3,-48,-79
3,-48,-72
3,-48,-78
3,-48,-72
3,-48,0
3,-48,-74
3,-48,-79
3,-48,-73
3,-48,-73
3,-48,-73
3,-49,-80
3,-48,-79
3,-48,-74
3,-48,-72
3,-48,-77
3,-48,-72
3,-48,0
3,-48,-73
3,-47,-72
3,-46,-79
3.5,-47,-71
3.5,-47,-80
3.5,-47,-79
3.5,-46,-72
3.5,-46,-72
3.5,-53,-70
3.5,-52,-71
3.5,-50,-74
3.5,-50,0
3.5,-51,-74
3.5,-51,-74
3.5,-51,-70
3.5,-51,-70
3.5,-50,-71
3.5,-50,-71
3.5,-49,-71
3.5,-50,-76
3.5,-51,-76
3.5,-50,-70
3.5,-50,-76
3.5,-50,0
3.5,-49,-71
3.5,-50,-72
3.5,-50,-74
3.5,-50,-76
3.5,-51,-77
3.5,-52,0
3.5,-50,-74
3.5,-51,-76
3.5,-52,-75
4,-58,0
4,-62,-77
4,-63,-96
4,-62,-82
4,-63,-80
4,-66,-81
4,-61,-79
4,-57,-80
4,-65,-79
4,-65,-82
4,-66,-82
4,-64,-80
4,-64,-82
4,-66,-79
4,-65,-81
4,-66,-78
4,-65,-80
4,-65,-81
4,-65,-82
4,-67,-79
4,-66,-79
4,-57,-82
4,-59,-82
4,-61,-78
4,-61,-83
4,-61,-83
4,-65,-80
4,-64,-80
4,-65,-80
4,-65,-79
4.5,-66,-83
4.5,-64,-82
4.5,-58,-78
4.5,-63,-80
4.5,-64,-82
4.5,-62,-82
4.5,-63,-81
4.5,-59,-78
4.5,-63,-83
4.5,-61,-82
4.5,-54,-84
4.5,-54,-79
4.5,-56,-77
4.5,-62,-82
4.5,-60,-86
4.5,-59,-81
4.5,-55,0
4.5,-58,-78
4.5,-60,-80
4.5,-59,-80
4.5,-59,-80
4.5,-61,-83
4.5,-58,-83
4.5,-57,-84
4.5,-61,-83
4.5,-63,-84
4.5,-61,-79
4.5,-59,-82
4.5,-65,-80
4.5,-66,-79
5,-59,-84
5,-55,-82
5,-54,-81
5,-57,-84
5,-59,-81
5,-57,-83
5,-57,-80
5,-57,-83
5,-58,-80
5,-56,-81
5,-57,-83
5,-58,0
5,-57,-82
5,-59,-82
5,-59,-85
5,-58,-80
5,-56,-86
5,-59,-85
5,-57,-84
5,-58,-82
5,-57,-85
5,-59,-81
5,-58,0
5,-58,0
5,-57,-87
5,-57,-81
5,-57,-86
5,-55,-79
5,-57,-82
5,-57,-85
5.5,-68,-82
5.5,-63,-85
5.5,-62,-86
5.5,-62,-85
5.5,-63,0
5.5,-60,-87
5.5,-60,-88
5.5,-62,-86
5.5,-60,-86
5.5,-64,-85
5.5,-64,0
5.5,-59,0
5.5,-60,-87
5.5,-60,-85
5.5,-62,0
5.5,-61,-93
5.5,-66,0
5.5,-63,-90
5.5,-62,0
5.5,-62,0
5.5,-61,-87
5.5,-67,-86
5.5,-63,0
5.5,-64,0
5.5,-62,-83
5.5,-62,-86
5.5,-61,-88
5.5,-62,-85
5.5,-61,-86
5.5,-60,0
6,-64,-83
6,-57,-82
6,-59,-86
6,-58,-84
6,-61,-85
6,-59,0
6,-59,-87
6,-59,-87
6,-59,0
6,-59,-87
6,-59,0
6,-59,-86
6,-59,-87
6,-59,-87
6,-59,-85
6,-59,-89
6,-59,-86
6,-59,0
6,-58,-92
6,-58,-86
6,-58,-87
6,-58,0
6,-58,0
6,-59,-88
6,-59,-87
6,-59,-86
6,-58,-87
6,-58,-90
6,-59,-87
6,-60,0
6.5,-61,0
6.5,-64,-86
6.5,-61,0
6.5,-59,0
6.5,-60,0
6.5,-59,0
6.5,-60,0
6.5,-60,0
6.5,-59,0
6.5,-60,0
6.5,-60,0
6.5,-59,0
6.5,-59,-89
6.5,-59,-95
6.5,-59,0
6.5,-59,0
6.5,-62,0
6.5,-66,0
6.5,-65,-87
6.5,-59,0
6.5,-61,-89
6.5,-58,0
6.5,-60,0
6.5,-59,0
6.5,-59,0
6.5,-60,0
6.5,-59,0
6.5,-59,0
6.5,-60,-89
6.5,-60,-87
7,-60,-84
7,-57,-84
7,-57,-84
7,-56,-87
7,-56,-84
7,-57,-83
7,-56,-83
7,-57,-84
7,-57,-85
7,-57,-85
7,-58,-83
7,-58,-84
7,-57,0
7,-57,-83
7,-57,-84
7,-57,-88
7,-57,-83
7,-57,-84
7,-57,0
7,-57,-88
7,-60,-84
7,-56,-88
7,-59,-85
7,-59,-85
7,-58,0
7,-58,-85
7,-57,0
7,-57,-84
7,-58,-84
7,-58,-85

