Name,X,Y,X,Y,Z,Strength
A1,0.3,0.6,-0.4797149,17.518223,11.354262,20.919285
A2,0.97,0.6,-1.7403737,18.563702,11.593131,21.993002
A3,1.63,0.6,-2.3215497,18.481352,13.272178,22.97341
A4,2.3,0.6,-1.7256558,19.361423,12.721614,23.30596
B1,0.3,1.6,-1.1916128,15.071296,10.715771,18.545288
B2,0.97,1.6,-1.9143105,18.292997,6.685347,19.600452
B3,1.63,1.6,-2.0857756,20.024586,5.9063697,21.064482
B4,2.3,1.6,-1.243357,20.960901,9.439861,23.079853
C1,0.3,2.6,-1.082013,15.5352955,11.735227,19.558895
C2,0.97,2.6,1.3281583,12.621981,6.091987,14.201079
C3,1.63,2.6,-1.2891971,13.226453,4.8223267,14.239176
C4,2.3,2.6,-0.31802335,16.84655,7.956956,18.712471
D1,0.3,3.6,-0.5788268,18.114067,13.723305,22.796484
D2,0.97,3.6,-0.049627315,13.264949,15.467581,20.419493
D3,1.63,3.6,-0.5928925,12.489098,15.323574,19.856625
D4,2.3,3.6,-0.2355848,7.5895553,19.372347,20.854464
