X,Y,Error,MinError,MaxError
13,9.8,0.7434586252549216,0.06944880787063425,2.0284440549303935
13,8.8,1.935234479082107,0.3936086936716345,6.727533116154888
12,7.8,1.321540683260514,0.6695234029653352,2.0175042458591057
7.4,7.8,2.535187634975374,1.4800718757312488,5.950964218489988
8.5,9.8,3.457568973051622,1.1092594909081732,8.022347392155847
10.2,5.3,1.8400111457038322,0.32982665416657914,4.056817789923336
7.8,2.5,3.348829292884396,1.2252123224606282,5.864020393686971
1.5,4.8,1.7472436952486656,0.5035804792641787,2.2161711978398837
1,1,2.586890854921949,2.0871677572621534,2.96264489404572
6.1,2.3,4.507767804286972,2.8952590009225507,7.137010186158435
0.5,6.8,2.5763759393079044,0.9490982203140812,4.431451087267488
-3,4.5,1.2301124425091066,0.9281073071991971,1.5306361468578873
-1.5,6,0.7097557501321141,0.25973230977080475,1.325826618594295
-4.4,10.8,1.0490811277995555,0.35059794927564053,1.880283713404985
-3.8,7.8,4.379092892946776,1.706006209061322,7.756084614406393
11.3,5.3,2.666941634041743,1.3727265541344347,3.4904941036772326
10.5,3.4,5.214172860562151,1.1821228262503412,7.658054647349658
13.3,3.4,1.9426612446585303,0.9565015624327803,4.2819269245704685
13.3,1.5,3.5664856111516037,2.1422743677594327,6.9067892934728805
13.5,9.8,0.8458228269510899,0.7232067726471799,0.9684388812549998
11,9.8,1.6282674425267027,1.3637403875202418,1.7844347358600041
13.5,6.8,1.5928070113574133,0.8131990630169599,2.041609728015115
12,8.8,1.0879840285099287,0.5902541576844806,1.337219989556914
