"Name","X","Y","SignalId","Strength"
Cama,12.0,1.0,HMSoft(B4:52:A9:13:20:99),-93.25
Entrada,7.8,3.5,HMSoft(B4:52:A9:13:20:99),-95.333336
Escritório,7.3,4.5,HMSoft(B4:52:A9:13:20:99),-89.0
Box,13.3,3.4,HMSoft(B4:52:A9:13:20:99),-93.6
Quartos 1-2,10.2,6.3,HMSoft(B4:52:A9:13:20:99),-66.8
Centro,10.2,5.3,HMSoft(B4:52:A9:13:20:99),-78.2
Centro,7.8,2.5,HMSoft(B4:52:A9:13:20:99),-96.4
Janela,7.8,1.0,HMSoft(B4:52:A9:13:20:99),-94.6
Janela,8.5,9.8,HMSoft(B4:52:A9:13:20:99),-79.22222
Corredor,10.5,3.4,HMSoft(B4:52:A9:13:20:99),-75.0
Pia,11.3,3.4,HMSoft(B4:52:A9:13:20:99),-89.8
Cama,7.4,7.8,HMSoft(B4:52:A9:13:20:99),-80.8
Armários,9.8,8.8,HMSoft(B4:52:A9:13:20:99),-79.2
Box,11.3,5.3,HMSoft(B4:52:A9:13:20:99),-77.5
Pia,11.0,5.3,HMSoft(B4:52:A9:13:20:99),-77.27273
Janela,13.3,1.5,HMSoft(B4:52:A9:13:20:99),-92.0
Closet,11.0,1.5,HMSoft(B4:52:A9:13:20:99),-91.8
Mesa de jantar 1,3.0,6.8,HMSoft(B4:52:A9:13:20:99),-95.0
Mesa de jantar 2,0.5,6.8,HMSoft(B4:52:A9:13:20:99),-95.333336
Sofá pequeno,5.0,4.5,HMSoft(B4:52:A9:13:20:99),-93.6
Centro,1.5,4.8,HMSoft(B4:52:A9:13:20:99),-93.8
A2,12.0,6.8,HMSoft(B4:52:A9:13:20:99),-63.2
A1,11.0,6.8,HMSoft(B4:52:A9:13:20:99),-60.0
D3,13.0,9.8,HMSoft(B4:52:A9:13:20:99),-71.6
D2,12.0,9.8,HMSoft(B4:52:A9:13:20:99),-72.8
D1,11.0,9.8,HMSoft(B4:52:A9:13:20:99),-73.833336
C4,13.5,8.8,HMSoft(B4:52:A9:13:20:99),-73.4
D4,13.5,9.8,HMSoft(B4:52:A9:13:20:99),-70.0
B2,12.0,7.8,HMSoft(B4:52:A9:13:20:99),-66.8
B1,11.0,7.8,HMSoft(B4:52:A9:13:20:99),-51.2
A4,13.5,6.8,HMSoft(B4:52:A9:13:20:99),-71.2
A3,13.0,6.8,HMSoft(B4:52:A9:13:20:99),-68.4
C3,13.0,8.8,HMSoft(B4:52:A9:13:20:99),-70.4
B4,13.3,7.8,HMSoft(B4:52:A9:13:20:99),-72.2
B3,13.0,7.8,HMSoft(B4:52:A9:13:20:99),-71.4
C2,12.0,8.8,HMSoft(B4:52:A9:13:20:99),-69.6
C1,11.0,8.8,HMSoft(B4:52:A9:13:20:99),-72.2
