Position,Wifi,Bluetooth,MagX,MagY,MagZ
S0,-31,0,-0.1176476,17.63432,12.51534
S0,-35,0,-0.4400122,17.47069,13.10489
S0,-36,0,0.2657581,17.26703,12.8524
S0,-47,0,-0.3561438,17.82197,12.03542
S0,-41,0,-0.007988629,17.12833,11.99919
S0,-41,0,0.04677735,17.40712,12.44026
S0,-39,0,-0.2964958,17.99717,12.82187
S0,-35,0,-0.248553,17.3774,13.11739
S0,-32,0,0.2066432,17.07374,13.02608
S0,-30,0,-0.07875317,17.81637,12.28946
S1,-35,-62,-0.022565,16.00308,12.23209
S1,-34,-69,0.07793428,16.10885,12.46713
S1,-41,-76,0.5341501,16.2302,12.40252
S1,-41,-69,-0.0348232,16.15011,12.02576
S1,-37,-62,-0.390108,16.3149,11.80947
S1,-40,-60,0.1275614,16.15453,11.7154
S1,-40,-60,0.05794992,16.56519,11.45734
S1,-35,-64,0.2139013,16.35477,12.41492
S1,-41,-67,-0.07968406,15.92407,11.25888
S1,-46,0,0.0469697,16.68207,12.33614
S0,-41,-63,0.03054291,17.96022,13.01845
S0,-45,-67,-0.09180992,17.32852,12.0943
S0,-44,-68,0.5033703,17.87172,11.82206
S0,-39,-58,-0.6529678,17.48875,13.71055
S0,-38,-80,0.4851201,17.55354,13.65437
S0,-44,-72,0.1142496,17.50887,13.04724
S0,-37,-66,-0.538758,17.31379,13.51131
S0,-37,-67,-0.1063674,17.50305,12.83647
S0,-38,-66,0.09844732,17.62101,13.48827
S0,-41,-66,0.1760482,17.40755,12.60023
S2,-44,-78,0.3568693,16.33723,12.01995
S2,-43,-62,0.08188897,16.88182,11.83387
S2,-42,-77,-0.1990082,16.48134,12.76469
S2,-45,-75,0.4919415,16.32417,12.56288
S2,-45,-76,-0.3521584,16.80033,12.73436
S2,-45,-62,-0.0121616,16.43028,11.91987
S2,-41,-62,-0.6015567,17.46534,13.20428
S2,-41,-64,-0.1591332,16.61925,12.14512
S2,-44,-74,0.2893041,16.70815,12.43625
S2,-41,-74,0.03143901,17.24557,11.8939
S3,-41,-74,-0.307224,15.9538,10.47592
S3,-45,-71,0.2340984,16.01612,10.15112
S3,-45,-76,-0.3389169,16.21355,11.60644
S3,-44,-75,0.4207878,15.88455,10.97104
S3,-50,-78,-0.4218514,16.17145,10.40707
S3,-50,-73,-0.1322565,16.08306,11.26154
S3,-45,-76,-0.3387326,16.33176,11.91189
S3,-41,-65,0.03142178,15.28305,11.64017
S3,-45,-65,0.2833104,16.05217,10.87909
S3,-59,0,-0.2872968,15.95818,10.48931
S4,-40,-62,-0.3608125,16.18861,12.67852
S4,-31,-62,0.1537816,15.70266,12.45404
S4,-34,-61,0.1606137,16.26847,11.60095
S4,-34,-67,-0.1234206,15.74939,11.64591
S4,-36,-67,0.09520472,16.05506,11.95618
S4,-46,-75,-0.1808265,16.56461,12.53015
S4,-44,-75,-0.189942,15.90016,12.44214
S4,-42,-64,0.4203793,15.8681,12.11181
S4,-37,-58,-0.2113766,16.57442,11.70526
S4,-38,-75,-0.2799214,16.47484,11.7239
S5,-44,-67,-0.06972254,16.41505,12.9328
S5,-36,0,-0.2268309,16.31219,13.07835
S5,-39,-61,0.2401494,16.24309,12.65333
S5,-41,-61,0.02909639,16.04978,11.52592
S5,-46,-67,0.1882031,16.08692,11.72917
S5,-41,-68,-0.3747624,16.26309,12.69801
S5,-39,-78,0.3332961,16.02212,11.71601
S5,-40,-66,-0.08077043,15.94989,12.19849
S5,-38,-65,-0.3078069,16.60802,12.21124
S5,-44,-60,0.1287166,15.73043,12.47436
C1,-51,-76,0.2299952,16.92186,10.24622
C1,-46,-74,0.582646,16.2084,10.85501
C1,-46,-78,-0.1538684,16.06013,11.14611
C1,-48,-76,0.1080162,16.831,10.10694
C1,-57,-77,-0.2261029,16.7921,9.756437
C1,-58,-75,0.08545674,17.09969,9.684512
C1,-48,-79,0.4909568,17.22985,10.00601
C1,-45,0,0.4160984,16.69739,10.44362
C1,-51,-68,0.04728765,15.99818,10.82834
C1,-46,-82,-0.1805923,15.74937,10.86254
C2,-58,-81,-0.2895926,16.55828,14.35749
C2,-61,-81,-0.04462786,17.09034,14.80189
C2,-55,-86,-0.3580494,17.52044,15.0804
C2,-58,-79,0.1029906,16.51779,14.52779
C2,-58,-79,0.481548,16.26459,13.9173
C2,-50,0,0.0379606,16.92073,13.45376
C2,-49,-77,-0.3736593,16.66357,13.37931
C2,-60,-88,-0.1603618,16.24821,13.65913
C2,-60,-84,0.03934205,16.52015,14.30755
C2,-57,-80,-0.2441748,17.05498,14.76571
B0,-75,0,-0.09174748,14.47211,13.493
B0,-73,0,-0.2428009,13.76367,13.6266
B0,-72,0,0.5241912,13.56027,13.426
B0,-65,0,0.3820072,14.64095,13.02687
B0,-65,0,-0.1788751,15.18949,12.98583
B0,-59,0,-0.1260379,14.61194,13.3803
B0,-68,0,-0.1503331,14.39795,13.78987
B0,-70,0,-0.3036632,14.32975,13.86082
B0,-73,0,-0.3291176,14.07839,13.8247
B0,-74,0,-0.002475917,13.63418,13.64199
Q0,-53,-78,0.0789662,17.39473,12.43004
Q0,-51,-78,0.05683805,17.87904,12.58717
Q0,-57,-78,-0.5860168,18.21234,12.26415
Q0,-61,-78,-0.09431906,17.50884,12.51385
Q0,-56,-78,-0.247435,17.99913,12.89064
Q0,-56,-78,-0.1551078,17.02982,12.75067
Q0,-55,0,0.3439346,17.25105,12.60742
Q0,-55,-81,-0.3087611,18.07944,12.31851
Q0,-56,-84,-0.2780354,17.8362,12.11859
Q0,-58,-84,0.1647276,17.64413,12.37367
Q1,-53,-73,-0.08738241,16.13839,12.60766
Q1,-42,-73,-0.05806725,16.23847,12.58113
Q1,-44,0,0.499537,16.41976,12.00269
Q1,-51,-79,-0.2972265,17.08451,11.36488
Q1,-52,-85,-0.4971139,17.1721,12.16713
Q1,-56,-78,-0.1073586,16.38412,12.18088
Q1,-52,-82,0.2206037,16.41665,11.67741
Q1,-53,-78,-0.1402183,16.7434,11.33009
Q1,-57,-77,-0.02136849,16.9358,11.99156
Q1,-49,-78,-0.3694614,17.11167,12.35663
Q2,-50,-79,-0.0007553816,18.79607,10.98213
Q2,-50,-78,-0.047857,19.27395,11.07432
Q2,-54,-79,0.2515006,18.37498,11.3758
Q2,-55,-83,-0.5632092,17.67515,11.45472
Q2,-50,-77,-0.4493444,17.77121,11.83849
Q2,-50,-79,-0.2528122,18.41919,11.35314
Q2,-57,0,0.05835647,18.19855,11.73797
Q2,-55,0,-0.2827949,18.52381,11.75642
Q2,-51,-78,-0.362213,17.91339,11.2472
Q2,-53,-76,0.2269956,17.68988,10.92395
Q3,-51,-78,0.01901245,17.43517,11.31062
Q3,-55,-79,-0.3267258,17.6303,11.02347
Q3,-58,-87,0.04002088,17.49961,11.61931
Q3,-57,-79,-0.1367758,17.85427,12.25144
Q3,-56,-79,-0.452724,17.77046,12.47972
Q3,-54,-85,-0.1151117,17.0769,12.34357
Q3,-57,-75,0.1385142,16.88727,11.81808
Q3,-55,-81,0.05905348,17.49162,11.2393
Q3,-62,-79,-0.3902883,17.86135,11.06495
Q3,-58,-80,-0.3248043,17.69752,11.05468
Q4,-68,0,0.06818201,16.48906,13.6053
Q4,-62,0,-0.1279531,16.85116,13.32246
Q4,-61,0,-0.3134223,17.00231,13.63832
Q4,-65,0,-0.3537948,18.03134,14.30057
Q4,-66,0,-0.4415469,17.06927,14.32603
Q4,-58,-82,0.04045516,16.28817,14.22212
Q4,-60,-82,0.3329229,16.21138,14.04022
Q4,-58,0,0.0544661,16.79803,13.84032
Q4,-56,0,-0.5014859,17.50389,13.54854
Q4,-59,0,-0.1701356,17.10863,13.71786
Q5,-60,0,-0.08246232,16.18004,14.00617
Q5,-60,0,0.6110272,15.88971,13.46638
Q5,-61,0,0.1944897,16.39998,12.90832
Q5,-60,0,-0.312396,15.7926,14.01614
Q5,-61,0,0.2664976,16.34451,13.27011
Q5,-61,0,-0.05958805,16.54124,12.95977
Q5,-59,0,-0.2644919,16.74511,14.15023
Q5,-58,0,0.4320225,17.19399,13.71056
Q5,-59,0,0.6990946,16.7764,12.95968
Q5,-54,-84,-0.09039477,16.12224,13.73139
Q6,-60,0,-0.05978467,16.76735,14.61059
Q6,-61,0,-0.07138052,16.56427,13.97075
Q6,-59,0,0.1365149,16.74182,14.64382
Q6,-54,0,-0.06876204,15.94838,13.79814
Q6,-54,0,-0.07264094,16.1253,13.24918
Q6,-54,-86,-0.2057236,15.44725,14.01551
Q6,-61,-86,0.1005178,16.63038,14.58951
Q6,-53,0,0.419252,16.58561,14.69484
Q6,-58,0,0.005233765,15.33889,14.10282
CZ1,-61,0,0.01097555,17.66738,10.01963
CZ1,-55,0,0.009058042,16.93161,9.609044
CZ1,-51,-83,-0.08609033,18.43082,8.922911
CZ1,-51,-77,-0.8085157,19.51746,8.635567
CZ1,-51,0,-0.05520954,17.63747,10.10903
CZ1,-59,0,-0.07398044,16.38329,9.929127
CZ1,-57,0,0.171768,16.8753,9.339921
CZ1,-57,0,-0.7479916,18.938,8.648331
CZ2,-60,-82,-0.2467968,22.8183,11.97419
CZ2,-59,0,0.1802553,23.91883,10.24938
CZ2,-64,0,0.9085151,21.14426,11.680166
CZ2,-59,0,0.01561702,22.80265,10.93934
CZ2,-56,0,-0.2222566,23.42649,15.00362
CZ2,-59,-84,0.5041785,23.81786,13.57241
CZ2,-66,-84,0.1066953,22.70789,10.29583
CZ2,-65,-82,0.7959037,19.77699,11.85021
CZ2,-65,0,0.009866782,20.10985,11.1219
L1,-71,0,-0.2856826,12.87523,13.88664
L2,-77,0,-0.2116515,16.0678,10.69764
L2,-77,0,0.08294639,15.19977,13.93992
L2,-71,0,-0.5576372,16.96649,13.41519
L2,-71,0,-0.1543909,17.75334,12.37682
L2,-72,0,0.1326888,17.50449,10.40233
L2,-73,0,0.04545825,16.17396,10.63687
L2,-70,0,0.2716638,15.56814,12.56784
L2,-70,0,-0.08028933,16.2307,13.27642
X0,-77,0,-0.2185071,16.68096,14.6925
X0,-76,0,0.5649062,16.92736,14.09096
X0,-83,0,-0.4339857,17.78231,13.83755
X0,-82,0,0.0639298,17.62325,14.23513
X0,-76,0,-0.4477325,17.6075,15.14972
X0,-77,0,0.07877143,16.99527,14.45354
X0,-76,0,-0.04452937,17.35189,13.9636
X0,-77,0,-0.3970941,17.43393,13.77229
X0,-80,0,0.08126682,17.79269,14.66702
X0,-78,0,-0.3727478,17.49004,14.7959
B2,-80,0,-0.166612,18.85155,12.54723
B2,-79,0,-0.349386,19.15534,12.37953
B2,-76,0,-0.005759287,18.43466,12.88909
B2,-75,0,0.07691394,18.63937,13.03973
B2,-77,0,-0.1692516,18.37601,12.54983
B2,-78,0,-0.2236782,18.64628,12.39274
B2,-77,0,0.2171179,18.66052,12.40271
